DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MLT: Malta,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.824379921,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MRT: Mauritania,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,1.89546001,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MUS: Mauritius,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,4.719349861,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MEX: Mexico,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.522819996,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FSM: Micronesia (Federated States of),ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2015,12.40791988,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MCO: Monaco,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,1.457929969,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MNG: Mongolia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.088590145,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MOZ: Mozambique,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,5.499849796,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MMR: Myanmar,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,1.93208003,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NPL: Nepal,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,5.102069855,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NLD: Netherlands (Kingdom of the),ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.17509985,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NZL: New Zealand,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,6.283669949,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NIC: Nicaragua,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.357679844,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NER: Niger,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.547209978,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_NA: North America,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2021,4.99,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NOR: Norway,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,7.911980152,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,OMN: Oman,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2013,4.97010994,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PAK: Pakistan,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,2.89951992,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PAN: Panama,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2011,3.159009933,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PNG: Papua New Guinea,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,1.930889964,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PRY: Paraguay,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2016,3.438339949,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PER: Peru,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,3.847290039,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,POL: Poland,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.559569836,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PRT: Portugal,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.015610218,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PRI: Puerto Rico,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2014,6.072659969,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,QAT: Qatar,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,2.695349932,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KOR: Republic of Korea,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2016,4.333099842,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDA: Republic of Moldova,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,5.439730167,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ROU: Romania,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,3.095390081,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,RUS: Russian Federation,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.689909935,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,RWA: Rwanda,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.073750019,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KNA: Saint Kitts and Nevis,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2015,2.643460035,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LCA: Saint Lucia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.331799984,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VCT: Saint Vincent and the Grenadines,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,5.693779945,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WSM: Samoa,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2016,4.162220001,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SMR: San Marino,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.592859983,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,STP: Sao Tome and Principe,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,5.149069786,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SEN: Senegal,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,4.833280087,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SRB: Serbia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.585390091,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SYC: Seychelles,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2016,4.421020031,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SLE: Sierra Leone,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,7.702280045,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SGP: Singapore,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2013,2.85435009,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SVK: Slovakia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,3.939130068,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SVN: Slovenia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.783239841,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ZAF: South Africa,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2019,6.505050182,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_SA: South Asia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2021,3.52,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SSD: South Sudan,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2016,1.543900013,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ESP: Spain,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.20773983,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LKA: Sri Lanka,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.124209881,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PSE: State of Palestine,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.25233984,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_SSA: Sub-Saharan Africa,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2021,3.96,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SWE: Sweden,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,7.568830013,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHE: Switzerland,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.130189896,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TJK: Tajikistan,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2015,5.231389999,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,THA: Thailand,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2013,4.1240201,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TLS: Timor-Leste,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,6.792950153,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TGO: Togo,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,5.369569778,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TUN: Tunisia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2015,6.596010208,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TKM: Turkmenistan,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2012,3.049249887,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCA: Turks and Caicos Islands,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.914350033,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UGA: Uganda,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,2.130520105,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UKR: Ukraine,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.412260056,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GBR: United Kingdom,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.442090034,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TZA: United Republic of Tanzania,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,3.696439981,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,USA: United States,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2014,4.961740017,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,URY: Uruguay,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,5.047589779,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UZB: Uzbekistan,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,5.281340122,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VUT: Vanuatu,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2017,4.533530235,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VNM: Viet Nam,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,4.167449951,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_WCA: West and Central Africa,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2021,3.12,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UNICEF_WE: Western Europe,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2021,4.99,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WORLD: World,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2021,4.1,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ZMB: Zambia,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,4.618090153,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ZWE: Zimbabwe,ECON_GVT_EDU_EXP_PTGDP: government expenditure on education (% GDP),_T: Total,2018,5.871349812,,PCNT: %,,,,,,,,World  Bank Development Indicators ,,,,,,_T: Total
